name,team,position,player_url
Chris Boswell,Pittsburgh Steelers,K,/players/B/BoswCh00.htm
Brandon Aubrey,Dallas Cowboys,K,/players/A/AubrBr00.htm
Ka'imi Fairbairn,Houston Texans,K,/players/F/FairKa01.htm
Jason Sanders,Miami Dolphins,K,/players/S/SandJa00.htm
Daniel Carlson,Las Vegas Raiders,K,/players/C/CarlDa00.htm
Cameron Dicker,Los Angeles Chargers,K,/players/D/DickCa00.htm
Younghoe Koo,Atlanta Falcons,K,/players/K/KooxYo00.htm
Jake Elliott,Philadelphia Eagles,K,/players/E/ElliJa03.htm
Wil Lutz,Denver Broncos,K,/players/L/LutzWi00.htm
Matt Gay,Indianapolis Colts,K,/players/G/GayxMa00.htm
Jake Moody,San Francisco 49ers,K,/players/M/MoodJa00.htm
Justin Tucker,Baltimore Ravens,K,/players/T/TuckJu00.htm
Chase McLaughlin,Tampa Bay Buccaneers,K,/players/M/McLaCh00.htm
Joshua Karty,Los Angeles Rams,K,/players/K/KartJo00.htm
Joey Slye,New England Patriots,K,/players/S/SlyeJo00.htm
Austin Seibert,Washington Commanders,K,/players/S/SeibAu00.htm
Chad Ryland,Arizona Cardinals,K,/players/R/RylaCh00.htm
Jason Myers,Seattle Seahawks,K,/players/M/MyerJa00.htm
Jake Bates,Detroit Lions,K,/players/B/BateJa00.htm
Tyler Bass,Buffalo Bills,K,/players/B/BassTy00.htm
Blake Grupe,New Orleans Saints,K,/players/G/GrupBl00.htm
Will Reichard,Minnesota Vikings,K,/players/R/ReicWi00.htm
Cam Little,Jacksonville Jaguars,K,/players/L/LittCa00.htm
Dustin Hopkins,Cleveland Browns,K,/players/H/HopkDu00.htm
Eddy Piñeiro,Carolina Panthers,K,/players/P/PineEd00.htm
Harrison Butker,Kansas City Chiefs,K,/players/B/ButkHa00.htm
Cairo Santos,Chicago Bears,K,/players/S/SantCa01.htm
Evan McPherson,Cincinnati Bengals,K,/players/M/McPhEv00.htm
Nick Folk,Tennessee Titans,K,/players/F/FolkNi20.htm
Brandon McManus,Green Bay Packers,K,/players/M/McMaBr01.htm
Greg Zuerlein,New York Jets,K,/players/Z/ZuerGr00.htm
John Parker Romo,Minnesota Vikings,K,/players/R/RomoJo00.htm
Graham Gano,New York Giants,K,/players/G/GanoGr44.htm
Zane Gonzalez,Washington Commanders,K,/players/G/GonzZa00.htm
Matt Prater,Arizona Cardinals,K,/players/P/PratMa20.htm
Jude McAtamney,New York Giants,K,/players/M/McAtJu00.htm
Mitch Wishnowsky,San Francisco 49ers,P,/players/W/WishMi00.htm
Jamie Gillan,New York Giants,P,/players/G/GillJa00.htm
Braden Mann,Philadelphia Eagles,P,/players/M/MannBr01.htm
Ethan Evans,Los Angeles Rams,P,/players/E/EvanEt00.htm
Bradley Pinion,Atlanta Falcons,P,/players/P/PiniBr00.htm
Trenton Gill,Tampa Bay Buccaneers,P,/players/G/GillTr01.htm
Jake Camarda,Tampa Bay Buccaneers,P,/players/C/CamaJa00.htm
Jack Browning,Tampa Bay Buccaneers,P,/players/B/BrowJa10.htm
Justin Reid,Kansas City Chiefs,S,/players/R/ReidJu00.htm
Jordan Stout,Baltimore Ravens,P,/players/S/StouJo00.htm
Johnny Hekker,Carolina Panthers,P,/players/H/HekkJo00.htm
Thomas Morstead,New York Jets,P,/players/M/MorsTh00.htm
Jake Bailey,Miami Dolphins,P,/players/B/BailJa00.htm
Logan Cooke,Jacksonville Jaguars,P,/players/C/CookLo00.htm
Matthew Hayball,New Orleans Saints,P,/players/H/HaybMa00.htm
Rigoberto Sanchez,Indianapolis Colts,P,/players/S/SancRi00.htm
Tory Taylor,Chicago Bears,P,/players/T/TaylTo01.htm
Daniel Whelan,Green Bay Packers,P,/players/W/WhelDa00.htm
Ryan Wright,Minnesota Vikings,P,/players/W/WrigRy00.htm
